NM_MUNICIP,CD_GEOCMU,CONT
CUMARU DO NORTE,1502764,192
CURIONÓPOLIS,1502772,193
CURRALINHO,1502806,194
CURUÁ,1502855,195
CURUÇÁ,1502905,196
DOM ELISEU,1502939,197
ELDORADO DO CARAJÁS,1502954,198
FARO,1503002,199
FLORESTA DO ARAGUAIA,1503044,200
GARRAFÃO DO NORTE,1503077,201
GOIANÉSIA DO PARÁ,1503093,202
GURUPÁ,1503101,203
IGARAPÉ-AÇU,1503200,204
IGARAPÉ-MIRI,1503309,205
INHANGAPI,1503408,206
IPIXUNA DO PARÁ,1503457,207
IRITUIA,1503507,208
ITAITUBA,1503606,209
ITUPIRANGA,1503705,210
JACAREACANGA,1503754,211
JACUNDÁ,1503804,212
JURUTI,1503903,213
LIMOEIRO DO AJURU,1504000,214
MÃE DO RIO,1504059,215
MAGALHÃES BARATA,1504109,216
MARABÁ,1504208,217
MARACANÃ,1504307,218
MARAPANIM,1504406,219
MARITUBA,1504422,220
MEDICILÂNDIA,1504455,221
MELGAÇO,1504505,222
MOCAJUBA,1504604,223
MOJU,1504703,224
MOJUÍ DOS CAMPOS,1504752,225
MONTE ALEGRE,1504802,226
MUANÁ,1504901,227
NOVA ESPERANÇA DO PIRIÁ,1504950,228
NOVA IPIXUNA,1504976,229
NOVA TIMBOTEUA,1505007,230
NOVO PROGRESSO,1505031,231
NOVO REPARTIMENTO,1505064,232
ÓBIDOS,1505106,233
OEIRAS DO PARÁ,1505205,234
ORIXIMINÁ,1505304,235
OURÉM,1505403,236
OURILÂNDIA DO NORTE,1505437,237
PACAJÁ,1505486,238
PALESTINA DO PARÁ,1505494,239
PARAGOMINAS,1505502,240
PARAUAPEBAS,1505536,241
PAU D'ARCO,1505551,242
PEIXE-BOI,1505601,243
PIÇARRA,1505635,244
PLACAS,1505650,245
PONTA DE PEDRAS,1505700,246
PORTEL,1505809,247
PORTO DE MOZ,1505908,248
PRAINHA,1506005,249
PRIMAVERA,1506104,250
QUATIPURU,1506112,251
REDENÇÃO,1506138,252
RIO MARIA,1506161,253
RONDON DO PARÁ,1506187,254
RURÓPOLIS,1506195,255
SALINÓPOLIS,1506203,256
SALVATERRA,1506302,257
SANTA BÁRBARA DO PARÁ,1506351,258
SANTA CRUZ DO ARARI,1506401,259
SANTA IZABEL DO PARÁ,1506500,260
SANTA LUZIA DO PARÁ,1506559,261
SANTA MARIA DAS BARREIRAS,1506583,262
SANTA MARIA DO PARÁ,1506609,263
SANTANA DO ARAGUAIA,1506708,264
SANTARÉM,1506807,265
SANTARÉM NOVO,1506906,266
SANTO ANTÔNIO DO TAUÁ,1507003,267
SÃO CAETANO DE ODIVELAS,1507102,268
SÃO DOMINGOS DO ARAGUAIA,1507151,269
SÃO DOMINGOS DO CAPIM,1507201,270
SÃO FÉLIX DO XINGU,1507300,271
SÃO FRANCISCO DO PARÁ,1507409,272
SÃO GERALDO DO ARAGUAIA,1507458,273
SÃO JOÃO DA PONTA,1507466,274
SÃO JOÃO DE PIRABAS,1507474,275
SÃO JOÃO DO ARAGUAIA,1507508,276
SÃO MIGUEL DO GUAMÁ,1507607,277
SÃO SEBASTIÃO DA BOA VISTA,1507706,278
SAPUCAIA,1507755,279
SENADOR JOSÉ PORFÍRIO,1507805,280
SOURE,1507904,281
TAILÂNDIA,1507953,282
TERRA ALTA,1507961,283
TERRA SANTA,1507979,284
