NM_MUNICIP,CD_GEOCMU,CONT
JERUMENHA,2205300,771
JOÃO COSTA,2205359,772
JOAQUIM PIRES,2205409,773
JOCA MARQUES,2205458,774
JOSÉ DE FREITAS,2205508,775
JUAZEIRO DO PIAUÍ,2205516,776
JÚLIO BORGES,2205524,777
JUREMA,2205532,778
LAGOINHA DO PIAUÍ,2205540,779
LAGOA ALEGRE,2205557,780
LAGOA DO BARRO DO PIAUÍ,2205565,781
LAGOA DE SÃO FRANCISCO,2205573,782
LAGOA DO PIAUÍ,2205581,783
LAGOA DO SÍTIO,2205599,784
LANDRI SALES,2205607,785
LUÍS CORREIA,2205706,786
LUZILÂNDIA,2205805,787
MADEIRO,2205854,788
MANOEL EMÍDIO,2205904,789
MARCOLÂNDIA,2205953,790
MARCOS PARENTE,2206001,791
MASSAPÊ DO PIAUÍ,2206050,792
MATIAS OLÍMPIO,2206100,793
MIGUEL ALVES,2206209,794
MIGUEL LEÃO,2206308,795
MILTON BRANDÃO,2206357,796
MONSENHOR GIL,2206407,797
MONSENHOR HIPÓLITO,2206506,798
MONTE ALEGRE DO PIAUÍ,2206605,799
MORRO CABEÇA NO TEMPO,2206654,800
MORRO DO CHAPÉU DO PIAUÍ,2206670,801
MURICI DOS PORTELAS,2206696,802
NAZARÉ DO PIAUÍ,2206704,803
NAZÁRIA,2206720,804
NOSSA SENHORA DE NAZARÉ,2206753,805
NOSSA SENHORA DOS REMÉDIOS,2206803,806
NOVO ORIENTE DO PIAUÍ,2206902,807
NOVO SANTO ANTÔNIO,2206951,808
OEIRAS,2207009,809
OLHO D'ÁGUA DO PIAUÍ,2207108,810
PADRE MARCOS,2207207,811
PAES LANDIM,2207306,812
PAJEÚ DO PIAUÍ,2207355,813
PALMEIRA DO PIAUÍ,2207405,814
PALMEIRAIS,2207504,815
PAQUETÁ,2207553,816
PARNAGUÁ,2207603,817
PARNAÍBA,2207702,818
PASSAGEM FRANCA DO PIAUÍ,2207751,819
PATOS DO PIAUÍ,2207777,820
PAU D'ARCO DO PIAUÍ,2207793,821
PAULISTANA,2207801,822
PAVUSSU,2207850,823
PEDRO II,2207900,824
PEDRO LAURENTINO,2207934,825
NOVA SANTA RITA,2207959,826
PICOS,2208007,827
PIMENTEIRAS,2208106,828
PIO IX,2208205,829
PIRACURUCA,2208304,830
PIRIPIRI,2208403,831
PORTO,2208502,832
PORTO ALEGRE DO PIAUÍ,2208551,833
PRATA DO PIAUÍ,2208601,834
QUEIMADA NOVA,2208650,835
REDENÇÃO DO GURGUÉIA,2208700,836
REGENERAÇÃO,2208809,837
RIACHO FRIO,2208858,838
RIBEIRA DO PIAUÍ,2208874,839
RIBEIRO GONÇALVES,2208908,840
RIO GRANDE DO PIAUÍ,2209005,841
SANTA CRUZ DO PIAUÍ,2209104,842
SANTA CRUZ DOS MILAGRES,2209153,843
SANTA FILOMENA,2209203,844
SANTA LUZ,2209302,845
SANTANA DO PIAUÍ,2209351,846
SANTA ROSA DO PIAUÍ,2209377,847
SANTO ANTÔNIO DE LISBOA,2209401,848
SANTO ANTÔNIO DOS MILAGRES,2209450,849
SANTO INÁCIO DO PIAUÍ,2209500,850
SÃO BRAZ DO PIAUÍ,2209559,851
SÃO FÉLIX DO PIAUÍ,2209609,852
SÃO FRANCISCO DE ASSIS DO PIAUÍ,2209658,853
SÃO FRANCISCO DO PIAUÍ,2209708,854
SÃO GONÇALO DO GURGUÉIA,2209757,855
SÃO GONÇALO DO PIAUÍ,2209807,856
SÃO JOÃO DA CANABRAVA,2209856,857
SÃO JOÃO DA FRONTEIRA,2209872,858
SÃO JOÃO DA SERRA,2209906,859
SÃO JOÃO DA VARJOTA,2209955,860
SÃO JOÃO DO ARRAIAL,2209971,861
SÃO JOÃO DO PIAUÍ,2210003,862
SÃO JOSÉ DO DIVINO,2210052,863
SÃO JOSÉ DO PEIXE,2210102,864
SÃO JOSÉ DO PIAUÍ,2210201,865
SÃO JULIÃO,2210300,866
SÃO LOURENÇO DO PIAUÍ,2210359,867
SÃO LUIS DO PIAUÍ,2210375,868
SÃO MIGUEL DA BAIXA GRANDE,2210383,869
SÃO MIGUEL DO FIDALGO,2210391,870
SÃO MIGUEL DO TAPUIO,2210409,871
SÃO PEDRO DO PIAUÍ,2210508,872
SÃO RAIMUNDO NONATO,2210607,873
SEBASTIÃO BARROS,2210623,874
SEBASTIÃO LEAL,2210631,875
SIGEFREDO PACHECO,2210656,876
SIMÕES,2210706,877
SIMPLÍCIO MENDES,2210805,878
SOCORRO DO PIAUÍ,2210904,879
SUSSUAPARA,2210938,880
TAMBORIL DO PIAUÍ,2210953,881
TANQUE DO PIAUÍ,2210979,882
TERESINA,2211001,883
UNIÃO,2211100,884
URUÇUÍ,2211209,885
VALENÇA DO PIAUÍ,2211308,886
VÁRZEA BRANCA,2211357,887
VÁRZEA GRANDE,2211407,888
VERA MENDES,2211506,889
VILA NOVA DO PIAUÍ,2211605,890
WALL FERRAZ,2211704,891
ABAIARA,2300101,892
ACARAPE,2300150,893
ACARAÚ,2300200,894
ACOPIARA,2300309,895
AIUABA,2300408,896
ALCÂNTARAS,2300507,897
ALTANEIRA,2300606,898
ALTO SANTO,2300705,899
AMONTADA,2300754,900
ANTONINA DO NORTE,2300804,901
APUIARÉS,2300903,902
AQUIRAZ,2301000,903
ARACATI,2301109,904
ARACOIABA,2301208,905
ARARENDÁ,2301257,906
ARARIPE,2301307,907
ARATUBA,2301406,908
ARNEIROZ,2301505,909
ASSARÉ,2301604,910
AURORA,2301703,911
BAIXIO,2301802,912
BANABUIÚ,2301851,913
BARBALHA,2301901,914
BARREIRA,2301950,915
BARRO,2302008,916
BARROQUINHA,2302057,917
BATURITÉ,2302107,918
BEBERIBE,2302206,919
BELA CRUZ,2302305,920
BOA VIAGEM,2302404,921
BREJO SANTO,2302503,922
CAMOCIM,2302602,923
CAMPOS SALES,2302701,924
CANINDÉ,2302800,925
CAPISTRANO,2302909,926
CARIDADE,2303006,927
CARIRÉ,2303105,928
CARIRIAÇU,2303204,929
CARIÚS,2303303,930
CARNAUBAL,2303402,931
CASCAVEL,2303501,932
CATARINA,2303600,933
CATUNDA,2303659,934
CAUCAIA,2303709,935
CEDRO,2303808,936
CHAVAL,2303907,937
CHORÓ,2303931,938
CHOROZINHO,2303956,939
COREAÚ,2304004,940
CRATEÚS,2304103,941
CRATO,2304202,942
CROATÁ,2304236,943
CRUZ,2304251,944
DEPUTADO IRAPUAN PINHEIRO,2304269,945
ERERÊ,2304277,946
EUSÉBIO,2304285,947
FARIAS BRITO,2304301,948
FORQUILHA,2304350,949
FORTALEZA,2304400,950
FORTIM,2304459,951
FRECHEIRINHA,2304509,952
GENERAL SAMPAIO,2304608,953
GRAÇA,2304657,954
GRANJA,2304707,955
GRANJEIRO,2304806,956
GROAÍRAS,2304905,957
GUAIÚBA,2304954,958
GUARACIABA DO NORTE,2305001,959
GUARAMIRANGA,2305100,960
HIDROLÂNDIA,2305209,961
HORIZONTE,2305233,962
IBARETAMA,2305266,963
IBIAPINA,2305308,964
IBICUITINGA,2305332,965
ICAPUÍ,2305357,966
ICÓ,2305407,967
IGUATU,2305506,968
INDEPENDÊNCIA,2305605,969
IPAPORANGA,2305654,970
IPAUMIRIM,2305704,971
IPU,2305803,972
IPUEIRAS,2305902,973
IRACEMA,2306009,974
IRAUÇUBA,2306108,975
ITAIÇABA,2306207,976
ITAITINGA,2306256,977
ITAPAJÉ,2306306,978
ITAPIPOCA,2306405,979
ITAPIÚNA,2306504,980
ITAREMA,2306553,981
ITATIRA,2306603,982
JAGUARETAMA,2306702,983
JAGUARIBARA,2306801,984
JAGUARIBE,2306900,985
JAGUARUANA,2307007,986
JARDIM,2307106,987
JATI,2307205,988
JIJOCA DE JERICOACOARA,2307254,989
JUAZEIRO DO NORTE,2307304,990
JUCÁS,2307403,991
LAVRAS DA MANGABEIRA,2307502,992
LIMOEIRO DO NORTE,2307601,993
MADALENA,2307635,994
MARACANAÚ,2307650,995
MARANGUAPE,2307700,996
MARCO,2307809,997
MARTINÓPOLE,2307908,998
MASSAPÊ,2308005,999
MAURITI,2308104,1000
MERUOCA,2308203,1001
MILAGRES,2308302,1002
MILHÃ,2308351,1003
MIRAÍMA,2308377,1004
MISSÃO VELHA,2308401,1005
MOMBAÇA,2308500,1006
MONSENHOR TABOSA,2308609,1007
MORADA NOVA,2308708,1008
MORAÚJO,2308807,1009
MORRINHOS,2308906,1010
MUCAMBO,2309003,1011
MULUNGU,2309102,1012
NOVA OLINDA,2309201,1013
NOVA RUSSAS,2309300,1014
NOVO ORIENTE,2309409,1015
OCARA,2309458,1016
ORÓS,2309508,1017
PACAJUS,2309607,1018
PACATUBA,2309706,1019
PACOTI,2309805,1020
PACUJÁ,2309904,1021
PALHANO,2310001,1022
PALMÁCIA,2310100,1023
PARACURU,2310209,1024
PARAIPABA,2310258,1025
PARAMBU,2310308,1026
PARAMOTI,2310407,1027
PEDRA BRANCA,2310506,1028
PENAFORTE,2310605,1029
PENTECOSTE,2310704,1030
PEREIRO,2310803,1031
PINDORETAMA,2310852,1032
PIQUET CARNEIRO,2310902,1033
PIRES FERREIRA,2310951,1034
PORANGA,2311009,1035
PORTEIRAS,2311108,1036
POTENGI,2311207,1037
POTIRETAMA,2311231,1038
QUITERIANÓPOLIS,2311264,1039
QUIXADÁ,2311306,1040
QUIXELÔ,2311355,1041
QUIXERAMOBIM,2311405,1042
QUIXERÉ,2311504,1043
REDENÇÃO,2311603,1044
RERIUTABA,2311702,1045
RUSSAS,2311801,1046
SABOEIRO,2311900,1047
SALITRE,2311959,1048
SANTANA DO ACARAÚ,2312007,1049
SANTANA DO CARIRI,2312106,1050
SANTA QUITÉRIA,2312205,1051
SÃO BENEDITO,2312304,1052
SÃO GONÇALO DO AMARANTE,2312403,1053
SÃO JOÃO DO JAGUARIBE,2312502,1054
SÃO LUÍS DO CURU,2312601,1055
SENADOR POMPEU,2312700,1056
SENADOR SÁ,2312809,1057
SOBRAL,2312908,1058
SOLONÓPOLE,2313005,1059
TABULEIRO DO NORTE,2313104,1060
TAMBORIL,2313203,1061
TARRAFAS,2313252,1062
TAUÁ,2313302,1063
TEJUÇUOCA,2313351,1064
TIANGUÁ,2313401,1065
TRAIRI,2313500,1066
TURURU,2313559,1067
UBAJARA,2313609,1068
UMARI,2313708,1069
UMIRIM,2313757,1070
URUBURETAMA,2313807,1071
URUOCA,2313906,1072
VARJOTA,2313955,1073
VÁRZEA ALEGRE,2314003,1074
VIÇOSA DO CEARÁ,2314102,1075
ACARI,2400109,1076
AÇU,2400208,1077
AFONSO BEZERRA,2400307,1078
ÁGUA NOVA,2400406,1079
ALEXANDRIA,2400505,1080
ALMINO AFONSO,2400604,1081
ALTO DO RODRIGUES,2400703,1082
ANGICOS,2400802,1083
ANTÔNIO MARTINS,2400901,1084
APODI,2401008,1085
AREIA BRANCA,2401107,1086
ARÊS,2401206,1087
AUGUSTO SEVERO,2401305,1088
BAÍA FORMOSA,2401404,1089
BARAÚNA,2401453,1090
BARCELONA,2401503,1091
BENTO FERNANDES,2401602,1092
BODÓ,2401651,1093
BOM JESUS,2401701,1094
BREJINHO,2401800,1095
CAIÇARA DO NORTE,2401859,1096
CAIÇARA DO RIO DO VENTO,2401909,1097
CAICÓ,2402006,1098
CAMPO REDONDO,2402105,1099
CANGUARETAMA,2402204,1100
CARAÚBAS,2402303,1101
CARNAÚBA DOS DANTAS,2402402,1102
CARNAUBAIS,2402501,1103
CEARÁ-MIRIM,2402600,1104
CERRO CORÁ,2402709,1105
CORONEL EZEQUIEL,2402808,1106
CORONEL JOÃO PESSOA,2402907,1107
CRUZETA,2403004,1108
CURRAIS NOVOS,2403103,1109
DOUTOR SEVERIANO,2403202,1110
PARNAMIRIM,2403251,1111
ENCANTO,2403301,1112
EQUADOR,2403400,1113
ESPÍRITO SANTO,2403509,1114
EXTREMOZ,2403608,1115
FELIPE GUERRA,2403707,1116
FERNANDO PEDROZA,2403756,1117
FLORÂNIA,2403806,1118
FRANCISCO DANTAS,2403905,1119
FRUTUOSO GOMES,2404002,1120
GALINHOS,2404101,1121
GOIANINHA,2404200,1122
GOVERNADOR DIX-SEPT ROSADO,2404309,1123
GROSSOS,2404408,1124
GUAMARÉ,2404507,1125
IELMO MARINHO,2404606,1126
IPANGUAÇU,2404705,1127
IPUEIRA,2404804,1128
ITAJÁ,2404853,1129
ITAÚ,2404903,1130
JAÇANÃ,2405009,1131
JANDAÍRA,2405108,1132
JANDUÍS,2405207,1133
JANUÁRIO CICCO,2405306,1134
JAPI,2405405,1135
JARDIM DE ANGICOS,2405504,1136
JARDIM DE PIRANHAS,2405603,1137
JARDIM DO SERIDÓ,2405702,1138
JOÃO CÂMARA,2405801,1139
JOÃO DIAS,2405900,1140
JOSÉ DA PENHA,2406007,1141
JUCURUTU,2406106,1142
JUNDIÁ,2406155,1143
LAGOA D'ANTA,2406205,1144
LAGOA DE PEDRAS,2406304,1145
LAGOA DE VELHOS,2406403,1146
LAGOA NOVA,2406502,1147
LAGOA SALGADA,2406601,1148
LAJES,2406700,1149
LAJES PINTADAS,2406809,1150
LUCRÉCIA,2406908,1151
LUÍS GOMES,2407005,1152
MACAÍBA,2407104,1153
MACAU,2407203,1154
MAJOR SALES,2407252,1155
MARCELINO VIEIRA,2407302,1156
MARTINS,2407401,1157
MAXARANGUAPE,2407500,1158
MESSIAS TARGINO,2407609,1159
MONTANHAS,2407708,1160
MONTE ALEGRE,2407807,1161
MONTE DAS GAMELEIRAS,2407906,1162
MOSSORÓ,2408003,1163
NATAL,2408102,1164
NÍSIA FLORESTA,2408201,1165
NOVA CRUZ,2408300,1166
OLHO D'ÁGUA DO BORGES,2408409,1167
OURO BRANCO,2408508,1168
PARANÁ,2408607,1169
PARAÚ,2408706,1170
PARAZINHO,2408805,1171
PARELHAS,2408904,1172
RIO DO FOGO,2408953,1173
PASSA E FICA,2409100,1174
PASSAGEM,2409209,1175
PATU,2409308,1176
SANTA MARIA,2409332,1177
PAU DOS FERROS,2409407,1178
PEDRA GRANDE,2409506,1179
PEDRA PRETA,2409605,1180
PEDRO AVELINO,2409704,1181
PEDRO VELHO,2409803,1182
PENDÊNCIAS,2409902,1183
PILÕES,2410009,1184
POÇO BRANCO,2410108,1185
PORTALEGRE,2410207,1186
PORTO DO MANGUE,2410256,1187
SERRA CAIADA,2410306,1188
PUREZA,2410405,1189
RAFAEL FERNANDES,2410504,1190
RAFAEL GODEIRO,2410603,1191
RIACHO DA CRUZ,2410702,1192
RIACHO DE SANTANA,2410801,1193
RIACHUELO,2410900,1194
RODOLFO FERNANDES,2411007,1195
TIBAU,2411056,1196
RUY BARBOSA,2411106,1197
SANTA CRUZ,2411205,1198
SANTANA DO MATOS,2411403,1199
SANTANA DO SERIDÓ,2411429,1200
SANTO ANTÔNIO,2411502,1201
SÃO BENTO DO NORTE,2411601,1202
SÃO BENTO DO TRAIRÍ,2411700,1203
SÃO FERNANDO,2411809,1204
SÃO FRANCISCO DO OESTE,2411908,1205
SÃO GONÇALO DO AMARANTE,2412005,1206
SÃO JOÃO DO SABUGI,2412104,1207
SÃO JOSÉ DE MIPIBU,2412203,1208
SÃO JOSÉ DO CAMPESTRE,2412302,1209
SÃO JOSÉ DO SERIDÓ,2412401,1210
SÃO MIGUEL,2412500,1211
SÃO MIGUEL DO GOSTOSO,2412559,1212
SÃO PAULO DO POTENGI,2412609,1213
SÃO PEDRO,2412708,1214
SÃO RAFAEL,2412807,1215
SÃO TOMÉ,2412906,1216
SÃO VICENTE,2413003,1217
SENADOR ELÓI DE SOUZA,2413102,1218
SENADOR GEORGINO AVELINO,2413201,1219
SERRA DE SÃO BENTO,2413300,1220
SERRA DO MEL,2413359,1221
SERRA NEGRA DO NORTE,2413409,1222
SERRINHA,2413508,1223
SERRINHA DOS PINTOS,2413557,1224
SEVERIANO MELO,2413607,1225
SÍTIO NOVO,2413706,1226
TABOLEIRO GRANDE,2413805,1227
TAIPU,2413904,1228
TANGARÁ,2414001,1229
TENENTE ANANIAS,2414100,1230
TENENTE LAURENTINO CRUZ,2414159,1231
TIBAU DO SUL,2414209,1232
TIMBAÚBA DOS BATISTAS,2414308,1233
TOUROS,2414407,1234
TRIUNFO POTIGUAR,2414456,1235
UMARIZAL,2414506,1236
UPANEMA,2414605,1237
VÁRZEA,2414704,1238
VENHA-VER,2414753,1239
VERA CRUZ,2414803,1240
VIÇOSA,2414902,1241
VILA FLOR,2415008,1242
ÁGUA BRANCA,2500106,1243
AGUIAR,2500205,1244
ALAGOA GRANDE,2500304,1245
ALAGOA NOVA,2500403,1246
ALAGOINHA,2500502,1247
ALCANTIL,2500536,1248
ALGODÃO DE JANDAÍRA,2500577,1249
ALHANDRA,2500601,1250
SÃO JOÃO DO RIO DO PEIXE,2500700,1251
AMPARO,2500734,1252
APARECIDA,2500775,1253
ARAÇAGI,2500809,1254
ARARA,2500908,1255
ARARUNA,2501005,1256
AREIA,2501104,1257
AREIA DE BARAÚNAS,2501153,1258
AREIAL,2501203,1259
AROEIRAS,2501302,1260
ASSUNÇÃO,2501351,1261
BAÍA DA TRAIÇÃO,2501401,1262
BANANEIRAS,2501500,1263
BARAÚNA,2501534,1264
BARRA DE SANTANA,2501575,1265
BARRA DE SANTA ROSA,2501609,1266
BARRA DE SÃO MIGUEL,2501708,1267
BAYEUX,2501807,1268
BELÉM,2501906,1269
BELÉM DO BREJO DO CRUZ,2502003,1270
BERNARDINO BATISTA,2502052,1271
BOA VENTURA,2502102,1272
BOA VISTA,2502151,1273
BOM JESUS,2502201,1274
BOM SUCESSO,2502300,1275
BONITO DE SANTA FÉ,2502409,1276
BOQUEIRÃO,2502508,1277
IGARACY,2502607,1278
BORBOREMA,2502706,1279
BREJO DO CRUZ,2502805,1280
BREJO DOS SANTOS,2502904,1281
CAAPORÃ,2503001,1282
CABACEIRAS,2503100,1283
CABEDELO,2503209,1284
CACHOEIRA DOS ÍNDIOS,2503308,1285
CACIMBA DE AREIA,2503407,1286
CACIMBA DE DENTRO,2503506,1287
CACIMBAS,2503555,1288
CAIÇARA,2503605,1289
CAJAZEIRAS,2503704,1290
CAJAZEIRINHAS,2503753,1291
CALDAS BRANDÃO,2503803,1292
CAMALAÚ,2503902,1293
CAMPINA GRANDE,2504009,1294
CAPIM,2504033,1295
CARAÚBAS,2504074,1296
CARRAPATEIRA,2504108,1297
CASSERENGUE,2504157,1298
CATINGUEIRA,2504207,1299
CATOLÉ DO ROCHA,2504306,1300
CATURITÉ,2504355,1301
CONCEIÇÃO,2504405,1302
CONDADO,2504504,1303
CONDE,2504603,1304
CONGO,2504702,1305
COREMAS,2504801,1306
COXIXOLA,2504850,1307
CRUZ DO ESPÍRITO SANTO,2504900,1308
CUBATI,2505006,1309
CUITÉ,2505105,1310
CUITEGI,2505204,1311
CUITÉ DE MAMANGUAPE,2505238,1312
CURRAL DE CIMA,2505279,1313
CURRAL VELHO,2505303,1314
DAMIÃO,2505352,1315
DESTERRO,2505402,1316
VISTA SERRANA,2505501,1317
DIAMANTE,2505600,1318
DONA INÊS,2505709,1319
DUAS ESTRADAS,2505808,1320
EMAS,2505907,1321
ESPERANÇA,2506004,1322
FAGUNDES,2506103,1323
FREI MARTINHO,2506202,1324
GADO BRAVO,2506251,1325
GUARABIRA,2506301,1326
GURINHÉM,2506400,1327
GURJÃO,2506509,1328
IBIARA,2506608,1329
IMACULADA,2506707,1330
INGÁ,2506806,1331
ITABAIANA,2506905,1332
ITAPORANGA,2507002,1333
ITAPOROROCA,2507101,1334
ITATUBA,2507200,1335
JACARAÚ,2507309,1336
JERICÓ,2507408,1337
JOÃO PESSOA,2507507,1338
JUAREZ TÁVORA,2507606,1339
JUAZEIRINHO,2507705,1340
JUNCO DO SERIDÓ,2507804,1341
JURIPIRANGA,2507903,1342
JURU,2508000,1343
LAGOA,2508109,1344
LAGOA DE DENTRO,2508208,1345
LAGOA SECA,2508307,1346
LASTRO,2508406,1347
LIVRAMENTO,2508505,1348
LOGRADOURO,2508554,1349
LUCENA,2508604,1350
MÃE D'ÁGUA,2508703,1351
MALTA,2508802,1352
MAMANGUAPE,2508901,1353
MANAÍRA,2509008,1354
MARCAÇÃO,2509057,1355
MARI,2509107,1356
MARIZÓPOLIS,2509156,1357
MASSARANDUBA,2509206,1358
MATARACA,2509305,1359
MATINHAS,2509339,1360
MATO GROSSO,2509370,1361
MATURÉIA,2509396,1362
MOGEIRO,2509404,1363
MONTADAS,2509503,1364
MONTE HOREBE,2509602,1365
MONTEIRO,2509701,1366
MULUNGU,2509800,1367
NATUBA,2509909,1368
NAZAREZINHO,2510006,1369
NOVA FLORESTA,2510105,1370
NOVA OLINDA,2510204,1371
NOVA PALMEIRA,2510303,1372
OLHO D'ÁGUA,2510402,1373
OLIVEDOS,2510501,1374
OURO VELHO,2510600,1375
PARARI,2510659,1376
PASSAGEM,2510709,1377
PATOS,2510808,1378
PAULISTA,2510907,1379
PEDRA BRANCA,2511004,1380
PEDRA LAVRADA,2511103,1381
PEDRAS DE FOGO,2511202,1382
PIANCÓ,2511301,1383
PICUÍ,2511400,1384
PILAR,2511509,1385
PILÕES,2511608,1386
PILÕEZINHOS,2511707,1387
PIRPIRITUBA,2511806,1388
PITIMBU,2511905,1389
POCINHOS,2512002,1390
POÇO DANTAS,2512036,1391
POÇO DE JOSÉ DE MOURA,2512077,1392
POMBAL,2512101,1393
PRATA,2512200,1394
PRINCESA ISABEL,2512309,1395
PUXINANÃ,2512408,1396
QUEIMADAS,2512507,1397
QUIXABA,2512606,1398
REMÍGIO,2512705,1399
PEDRO RÉGIS,2512721,1400
RIACHÃO,2512747,1401
RIACHÃO DO BACAMARTE,2512754,1402
RIACHÃO DO POÇO,2512762,1403
RIACHO DE SANTO ANTÔNIO,2512788,1404
RIACHO DOS CAVALOS,2512804,1405
RIO TINTO,2512903,1406
SALGADINHO,2513000,1407
SALGADO DE SÃO FÉLIX,2513109,1408
SANTA CECÍLIA,2513158,1409
SANTA CRUZ,2513208,1410
SANTA HELENA,2513307,1411
SANTA INÊS,2513356,1412
SANTA LUZIA,2513406,1413
SANTANA DE MANGUEIRA,2513505,1414
SANTANA DOS GARROTES,2513604,1415
JOCA CLAUDINO,2513653,1416
SANTA RITA,2513703,1417
SANTA TERESINHA,2513802,1418
SANTO ANDRÉ,2513851,1419
SÃO BENTO,2513901,1420
SÃO BENTINHO,2513927,1421
SÃO DOMINGOS DO CARIRI,2513943,1422
SÃO DOMINGOS,2513968,1423
SÃO FRANCISCO,2513984,1424
SÃO JOÃO DO CARIRI,2514008,1425
SÃO JOÃO DO TIGRE,2514107,1426
SÃO JOSÉ DA LAGOA TAPADA,2514206,1427
SÃO JOSÉ DE CAIANA,2514305,1428
SÃO JOSÉ DE ESPINHARAS,2514404,1429
SÃO JOSÉ DOS RAMOS,2514453,1430
SÃO JOSÉ DE PIRANHAS,2514503,1431
SÃO JOSÉ DE PRINCESA,2514552,1432
SÃO JOSÉ DO BONFIM,2514602,1433
SÃO JOSÉ DO BREJO DO CRUZ,2514651,1434
SÃO JOSÉ DO SABUGI,2514701,1435
SÃO JOSÉ DOS CORDEIROS,2514800,1436
SÃO MAMEDE,2514909,1437
SÃO MIGUEL DE TAIPU,2515005,1438
SÃO SEBASTIÃO DE LAGOA DE ROÇA,2515104,1439
SÃO SEBASTIÃO DO UMBUZEIRO,2515203,1440
SAPÉ,2515302,1441
SÃO VICENTE DO SERIDÓ,2515401,1442
SERRA BRANCA,2515500,1443
SERRA DA RAIZ,2515609,1444
SERRA GRANDE,2515708,1445
SERRA REDONDA,2515807,1446
SERRARIA,2515906,1447
SERTÃOZINHO,2515930,1448
SOBRADO,2515971,1449
SOLÂNEA,2516003,1450
SOLEDADE,2516102,1451
SOSSÊGO,2516151,1452
SOUSA,2516201,1453
SUMÉ,2516300,1454
TACIMA,2516409,1455
TAPEROÁ,2516508,1456
TAVARES,2516607,1457
TEIXEIRA,2516706,1458
TENÓRIO,2516755,1459
TRIUNFO,2516805,1460
UIRAÚNA,2516904,1461
UMBUZEIRO,2517001,1462
VÁRZEA,2517100,1463
VIEIRÓPOLIS,2517209,1464
ZABELÊ,2517407,1465
ABREU E LIMA,2600054,1466
AFOGADOS DA INGAZEIRA,2600104,1467
AFRÂNIO,2600203,1468
AGRESTINA,2600302,1469
ÁGUA PRETA,2600401,1470
ÁGUAS BELAS,2600500,1471
ALAGOINHA,2600609,1472
ALIANÇA,2600708,1473
ALTINHO,2600807,1474
AMARAJI,2600906,1475
ANGELIM,2601003,1476
ARAÇOIABA,2601052,1477
ARARIPINA,2601102,1478
ARCOVERDE,2601201,1479
BARRA DE GUABIRABA,2601300,1480
BARREIROS,2601409,1481
BELÉM DE MARIA,2601508,1482
BELÉM DO SÃO FRANCISCO,2601607,1483
BELO JARDIM,2601706,1484
BETÂNIA,2601805,1485
BEZERROS,2601904,1486
BODOCÓ,2602001,1487
BOM CONSELHO,2602100,1488
BOM JARDIM,2602209,1489
BONITO,2602308,1490
BREJÃO,2602407,1491
BREJINHO,2602506,1492
BREJO DA MADRE DE DEUS,2602605,1493
BUENOS AIRES,2602704,1494
BUÍQUE,2602803,1495
CABO DE SANTO AGOSTINHO,2602902,1496
CABROBÓ,2603009,1497
CACHOEIRINHA,2603108,1498
CAETÉS,2603207,1499
CALÇADO,2603306,1500
CALUMBI,2603405,1501
CAMARAGIBE,2603454,1502
CAMOCIM DE SÃO FÉLIX,2603504,1503
CAMUTANGA,2603603,1504
CANHOTINHO,2603702,1505
CAPOEIRAS,2603801,1506
CARNAÍBA,2603900,1507
CARNAUBEIRA DA PENHA,2603926,1508
CARPINA,2604007,1509
CARUARU,2604106,1510
CASINHAS,2604155,1511
CATENDE,2604205,1512
CEDRO,2604304,1513
CHÃ DE ALEGRIA,2604403,1514
CHÃ GRANDE,2604502,1515
CONDADO,2604601,1516
CORRENTES,2604700,1517
CORTÊS,2604809,1518
CUMARU,2604908,1519
CUPIRA,2605004,1520
CUSTÓDIA,2605103,1521
DORMENTES,2605152,1522
ESCADA,2605202,1523
EXU,2605301,1524
FEIRA NOVA,2605400,1525
FERNANDO DE NORONHA,2605459,1526
FERREIROS,2605509,1527
FLORES,2605608,1528
FLORESTA,2605707,1529
FREI MIGUELINHO,2605806,1530
GAMELEIRA,2605905,1531
GARANHUNS,2606002,1532
GLÓRIA DO GOITÁ,2606101,1533
GOIANA,2606200,1534
GRANITO,2606309,1535
GRAVATÁ,2606408,1536
IATI,2606507,1537
IBIMIRIM,2606606,1538
IBIRAJUBA,2606705,1539
IGARASSU,2606804,1540
IGUARACY,2606903,1541
INAJÁ,2607000,1542
INGAZEIRA,2607109,1543
IPOJUCA,2607208,1544
IPUBI,2607307,1545
ITACURUBA,2607406,1546
ITAÍBA,2607505,1547
ILHA DE ITAMARACÁ,2607604,1548
ITAMBÉ,2607653,1549
ITAPETIM,2607703,1550
ITAPISSUMA,2607752,1551
ITAQUITINGA,2607802,1552
JABOATÃO DOS GUARARAPES,2607901,1553
JAQUEIRA,2607950,1554
JATAÚBA,2608008,1555
JATOBÁ,2608057,1556
JOÃO ALFREDO,2608107,1557
JOAQUIM NABUCO,2608206,1558
JUCATI,2608255,1559
JUPI,2608305,1560
JUREMA,2608404,1561
LAGOA DO CARRO,2608453,1562
LAGOA DE ITAENGA,2608503,1563
LAGOA DO OURO,2608602,1564
LAGOA DOS GATOS,2608701,1565
LAGOA GRANDE,2608750,1566
LAJEDO,2608800,1567
LIMOEIRO,2608909,1568
MACAPARANA,2609006,1569
MACHADOS,2609105,1570
MANARI,2609154,1571
MARAIAL,2609204,1572
MIRANDIBA,2609303,1573
MORENO,2609402,1574
NAZARÉ DA MATA,2609501,1575
OLINDA,2609600,1576
